Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Urban, Iasi, Anul 2014, Numar, 605
Urban, Iasi, Anul 2015, Numar, 652
Urban, Iasi, Anul 2016, Numar, 647
Urban, Iasi, Anul 2017, Numar, 659
Urban, Iasi, Anul 2018, Numar, 738
Urban, Iasi, Anul 2019, Numar, 592
Urban, Iasi, Anul 2020, Numar, 536
Urban, Iasi, Anul 2021, Numar, 583
Urban, Iasi, Anul 2022, Numar, 486
Urban, Neamt, Anul 1990, Numar, 441
Urban, Neamt, Anul 1991, Numar, 540
Urban, Neamt, Anul 1992, Numar, 420
Urban, Neamt, Anul 1993, Numar, 319
Urban, Neamt, Anul 1994, Numar, 458
Urban, Neamt, Anul 1995, Numar, 519
Urban, Neamt, Anul 1996, Numar, 610
Urban, Neamt, Anul 1997, Numar, 524
Urban, Neamt, Anul 1998, Numar, 481
Urban, Neamt, Anul 1999, Numar, 412
Urban, Neamt, Anul 2000, Numar, 445
Urban, Neamt, Anul 2001, Numar, 614
Urban, Neamt, Anul 2002, Numar, 647
Urban, Neamt, Anul 2003, Numar, 612
Urban, Neamt, Anul 2004, Numar, 771
Urban, Neamt, Anul 2005, Numar, 864
Urban, Neamt, Anul 2006, Numar, 773
Urban, Neamt, Anul 2007, Numar, 721
Urban, Neamt, Anul 2008, Numar, 772
Urban, Neamt, Anul 2009, Numar, 650
Urban, Neamt, Anul 2010, Numar, 578
Urban, Neamt, Anul 2011, Numar, 664
Urban, Neamt, Anul 2012, Numar, 516
Urban, Neamt, Anul 2013, Numar, 478
Urban, Neamt, Anul 2014, Numar, 434
Urban, Neamt, Anul 2015, Numar, 397
Urban, Neamt, Anul 2016, Numar, 448
Urban, Neamt, Anul 2017, Numar, 533
Urban, Neamt, Anul 2018, Numar, 467
Urban, Neamt, Anul 2019, Numar, 443
Urban, Neamt, Anul 2020, Numar, 291
Urban, Neamt, Anul 2021, Numar, 250
Urban, Neamt, Anul 2022, Numar, 311
Urban, Suceava, Anul 1990, Numar, 574
Urban, Suceava, Anul 1991, Numar, 790
Urban, Suceava, Anul 1992, Numar, 541
Urban, Suceava, Anul 1993, Numar, 538
Urban, Suceava, Anul 1994, Numar, 633
Urban, Suceava, Anul 1995, Numar, 578
Urban, Suceava, Anul 1996, Numar, 713
Urban, Suceava, Anul 1997, Numar, 713
Urban, Suceava, Anul 1998, Numar, 829
Urban, Suceava, Anul 1999, Numar, 698
Urban, Suceava, Anul 2000, Numar, 661
Urban, Suceava, Anul 2001, Numar, 588
Urban, Suceava, Anul 2002, Numar, 610
Urban, Suceava, Anul 2003, Numar, 680
Urban, Suceava, Anul 2004, Numar, 830
Urban, Suceava, Anul 2005, Numar, 741
Urban, Suceava, Anul 2006, Numar, 693
Urban, Suceava, Anul 2007, Numar, 721
Urban, Suceava, Anul 2008, Numar, 851
Urban, Suceava, Anul 2009, Numar, 694
Urban, Suceava, Anul 2010, Numar, 680
Urban, Suceava, Anul 2011, Numar, 622
Urban, Suceava, Anul 2012, Numar, 721
Urban, Suceava, Anul 2013, Numar, 553
Urban, Suceava, Anul 2014, Numar, 545
Urban, Suceava, Anul 2015, Numar, 604
Urban, Suceava, Anul 2016, Numar, 581
Urban, Suceava, Anul 2017, Numar, 544
Urban, Suceava, Anul 2018, Numar, 525
Urban, Suceava, Anul 2019, Numar, 499
Urban, Suceava, Anul 2020, Numar, 407
Urban, Suceava, Anul 2021, Numar, 415
Urban, Suceava, Anul 2022, Numar, 389
Urban, Vaslui, Anul 1990, Numar, 327
Urban, Vaslui, Anul 1991, Numar, 372
Urban, Vaslui, Anul 1992, Numar, 312
Urban, Vaslui, Anul 1993, Numar, 339
Urban, Vaslui, Anul 1994, Numar, 496
Urban, Vaslui, Anul 1995, Numar, 442
Urban, Vaslui, Anul 1996, Numar, 442
Urban, Vaslui, Anul 1997, Numar, 419
Urban, Vaslui, Anul 1998, Numar, 379
Urban, Vaslui, Anul 1999, Numar, 436
Urban, Vaslui, Anul 2000, Numar, 329
Urban, Vaslui, Anul 2001, Numar, 323
Urban, Vaslui, Anul 2002, Numar, 261
Urban, Vaslui, Anul 2003, Numar, 355
Urban, Vaslui, Anul 2004, Numar, 349
Urban, Vaslui, Anul 2005, Numar, 308
Urban, Vaslui, Anul 2006, Numar, 373
Urban, Vaslui, Anul 2007, Numar, 589
Urban, Vaslui, Anul 2008, Numar, 511
Urban, Vaslui, Anul 2009, Numar, 509
