Niveluri de educatie, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Salaj, Anul 2001, Numar persoane, 3647
Total, Total, Salaj, Anul 2002, Numar persoane, 3501
Total, Total, Salaj, Anul 2003, Numar persoane, 3450
Total, Total, Salaj, Anul 2004, Numar persoane, 3486
Total, Total, Salaj, Anul 2005, Numar persoane, 3410
Total, Total, Salaj, Anul 2006, Numar persoane, 3396
Total, Total, Salaj, Anul 2007, Numar persoane, 3364
Total, Total, Salaj, Anul 2008, Numar persoane, 3361
Total, Total, Salaj, Anul 2009, Numar persoane, 3291
Total, Total, Salaj, Anul 2010, Numar persoane, 3101
Total, Total, Salaj, Anul 2011, Numar persoane, 3079
Total, Total, Salaj, Anul 2012, Numar persoane, 2956
Total, Total, Salaj, Anul 2013, Numar persoane, 2998
Total, Total, Salaj, Anul 2014, Numar persoane, 2833
Total, Total, Salaj, Anul 2015, Numar persoane, 2707
Total, Total, Salaj, Anul 2016, Numar persoane, 2665
Total, Total, Salaj, Anul 2017, Numar persoane, 2642
Total, Total, Salaj, Anul 2018, Numar persoane, 2610
Total, Total, Salaj, Anul 2019, Numar persoane, 2623
Total, Total, Salaj, Anul 2020, Numar persoane, 2607
Total, Total, Salaj, Anul 2021, Numar persoane, 2643
Total, Total, Alba, Anul 1990, Numar persoane, 5347
Total, Total, Alba, Anul 1991, Numar persoane, 5522
Total, Total, Alba, Anul 1992, Numar persoane, 5674
Total, Total, Alba, Anul 1993, Numar persoane, 5652
Total, Total, Alba, Anul 1994, Numar persoane, 5853
Total, Total, Alba, Anul 1995, Numar persoane, 5831
Total, Total, Alba, Anul 1996, Numar persoane, 6065
Total, Total, Alba, Anul 1997, Numar persoane, 5967
Total, Total, Alba, Anul 1998, Numar persoane, 5943
Total, Total, Alba, Anul 1999, Numar persoane, 5606
Total, Total, Alba, Anul 2000, Numar persoane, 5489
Total, Total, Alba, Anul 2001, Numar persoane, 5573
Total, Total, Alba, Anul 2002, Numar persoane, 5107
Total, Total, Alba, Anul 2003, Numar persoane, 5143
Total, Total, Alba, Anul 2004, Numar persoane, 5156
Total, Total, Alba, Anul 2005, Numar persoane, 4895
Total, Total, Alba, Anul 2006, Numar persoane, 4865
Total, Total, Alba, Anul 2007, Numar persoane, 4847
Total, Total, Alba, Anul 2008, Numar persoane, 4826
Total, Total, Alba, Anul 2009, Numar persoane, 4717
Total, Total, Alba, Anul 2010, Numar persoane, 4490
Total, Total, Alba, Anul 2011, Numar persoane, 4367
Total, Total, Alba, Anul 2012, Numar persoane, 4328
Total, Total, Alba, Anul 2013, Numar persoane, 4414
Total, Total, Alba, Anul 2014, Numar persoane, 4233
Total, Total, Alba, Anul 2015, Numar persoane, 4208
Total, Total, Alba, Anul 2016, Numar persoane, 4115
Total, Total, Alba, Anul 2017, Numar persoane, 4092
Total, Total, Alba, Anul 2018, Numar persoane, 3970
Total, Total, Alba, Anul 2019, Numar persoane, 3943
Total, Total, Alba, Anul 2020, Numar persoane, 3914
Total, Total, Alba, Anul 2021, Numar persoane, 3876
Total, Total, Brasov, Anul 1990, Numar persoane, 7723
Total, Total, Brasov, Anul 1991, Numar persoane, 7899
Total, Total, Brasov, Anul 1992, Numar persoane, 8340
Total, Total, Brasov, Anul 1993, Numar persoane, 8420
Total, Total, Brasov, Anul 1994, Numar persoane, 8571
Total, Total, Brasov, Anul 1995, Numar persoane, 8837
Total, Total, Brasov, Anul 1996, Numar persoane, 9146
Total, Total, Brasov, Anul 1997, Numar persoane, 9428
