Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Ialomita, Anul 2002, Numar, 1
Ialomita, Anul 2005, Numar, 1
Ialomita, Anul 2006, Numar, 2
Ialomita, Anul 2008, Numar, 3
Prahova, Anul 1992, Numar, 3
Prahova, Anul 1993, Numar, 10
Prahova, Anul 1994, Numar, 4
Prahova, Anul 1995, Numar, 6
Prahova, Anul 1996, Numar, 14
Prahova, Anul 1997, Numar, 6
Prahova, Anul 1998, Numar, 11
Prahova, Anul 1999, Numar, 22
Prahova, Anul 2000, Numar, 6
Prahova, Anul 2001, Numar, 8
Prahova, Anul 2002, Numar, 2
Prahova, Anul 2003, Numar, 11
Prahova, Anul 2004, Numar, 3
Prahova, Anul 2005, Numar, 5
Prahova, Anul 2006, Numar, 5
Prahova, Anul 2007, Numar, 4
Prahova, Anul 2008, Numar, 4
Prahova, Anul 2009, Numar, 3
Prahova, Anul 2010, Numar, 9
Prahova, Anul 2011, Numar, 1
Prahova, Anul 2012, Numar, 3
Prahova, Anul 2013, Numar, 1
Prahova, Anul 2014, Numar, 2
Prahova, Anul 2016, Numar, 1
Prahova, Anul 2017, Numar, 2
Prahova, Anul 2018, Numar, 3
Prahova, Anul 2019, Numar, 1
Prahova, Anul 2020, Numar, 0
Prahova, Anul 2021, Numar, 0
Teleorman, Anul 1992, Numar, 2
Teleorman, Anul 1993, Numar, 4
Teleorman, Anul 1994, Numar, 13
Teleorman, Anul 1995, Numar, 8
Teleorman, Anul 1996, Numar, 7
Teleorman, Anul 1998, Numar, 10
Teleorman, Anul 1999, Numar, 14
Teleorman, Anul 2000, Numar, 4
Teleorman, Anul 2001, Numar, 2
Teleorman, Anul 2002, Numar, 4
Teleorman, Anul 2003, Numar, 1
Teleorman, Anul 2004, Numar, 2
Teleorman, Anul 2005, Numar, 2
Teleorman, Anul 2006, Numar, 2
Teleorman, Anul 2007, Numar, 1
Teleorman, Anul 2008, Numar, 1
Teleorman, Anul 2009, Numar, 3
Teleorman, Anul 2010, Numar, 1
Ilfov, Anul 2008, Numar, 3
Ilfov, Anul 2009, Numar, 3
Ilfov, Anul 2012, Numar, 1
Ilfov, Anul 2015, Numar, 1
Ilfov, Anul 2016, Numar, 1
Municipiul Bucuresti, Anul 2008, Numar, 29
Municipiul Bucuresti, Anul 2009, Numar, 30
Municipiul Bucuresti, Anul 2010, Numar, 15
Municipiul Bucuresti, Anul 2011, Numar, 14
Municipiul Bucuresti, Anul 2012, Numar, 2
Municipiul Bucuresti, Anul 2013, Numar, 2
Municipiul Bucuresti, Anul 2014, Numar, 2
Municipiul Bucuresti, Anul 2015, Numar, 7
Municipiul Bucuresti, Anul 2016, Numar, 6
Municipiul Bucuresti, Anul 2017, Numar, 3
Municipiul Bucuresti, Anul 2018, Numar, 8
Municipiul Bucuresti, Anul 2019, Numar, 2
Municipiul Bucuresti, Anul 2020, Numar, 2
Municipiul Bucuresti, Anul 2021, Numar, 1
Dolj, Anul 1992, Numar, 6
Dolj, Anul 1993, Numar, 29
Dolj, Anul 1994, Numar, 33
Dolj, Anul 1995, Numar, 12
Dolj, Anul 1996, Numar, 11
Dolj, Anul 1997, Numar, 13
Dolj, Anul 1998, Numar, 9
Dolj, Anul 1999, Numar, 30
Dolj, Anul 2000, Numar, 2
Dolj, Anul 2003, Numar, 2
Dolj, Anul 2004, Numar, 1
Dolj, Anul 2005, Numar, 1
Dolj, Anul 2008, Numar, 5
Dolj, Anul 2009, Numar, 2
Dolj, Anul 2010, Numar, 1
Gorj, Anul 1992, Numar, 3
Gorj, Anul 1993, Numar, 8
Gorj, Anul 1994, Numar, 10
Gorj, Anul 1995, Numar, 11
Gorj, Anul 1996, Numar, 9
Gorj, Anul 1997, Numar, 5
Gorj, Anul 1998, Numar, 6
Gorj, Anul 1999, Numar, 11
Gorj, Anul 2000, Numar, 1
Gorj, Anul 2001, Numar, 4
Gorj, Anul 2002, Numar, 1
Gorj, Anul 2003, Numar, 1
Gorj, Anul 2004, Numar, 1
Gorj, Anul 2008, Numar, 1
Gorj, Anul 2010, Numar, 1
Gorj, Anul 2012, Numar, 1
Gorj, Anul 2015, Numar, 1
Mehedinti, Anul 1992, Numar, 2
Mehedinti, Anul 1993, Numar, 4
