Niveluri de educatie, Judete, Localitati , Ani, UM: Numar, Valoare
Total, Calarasi, TOTAL, Anul 1998, Numar, 377
Total, Calarasi, TOTAL, Anul 1999, Numar, 359
Total, Calarasi, TOTAL, Anul 2000, Numar, 355
Total, Calarasi, TOTAL, Anul 2001, Numar, 355
Total, Calarasi, TOTAL, Anul 2002, Numar, 355
Total, Calarasi, TOTAL, Anul 2003, Numar, 351
Total, Calarasi, TOTAL, Anul 2004, Numar, 113
Total, Calarasi, TOTAL, Anul 2005, Numar, 137
Total, Calarasi, TOTAL, Anul 2006, Numar, 134
Total, Calarasi, TOTAL, Anul 2007, Numar, 132
Total, Calarasi, TOTAL, Anul 2008, Numar, 133
Total, Calarasi, TOTAL, Anul 2009, Numar, 133
Total, Calarasi, TOTAL, Anul 2010, Numar, 111
Total, Calarasi, TOTAL, Anul 2011, Numar, 99
Total, Calarasi, TOTAL, Anul 2012, Numar, 95
Total, Calarasi, TOTAL, Anul 2013, Numar, 99
Total, Calarasi, TOTAL, Anul 2014, Numar, 100
Total, Calarasi, TOTAL, Anul 2015, Numar, 100
Total, Calarasi, TOTAL, Anul 2016, Numar, 99
Total, Calarasi, TOTAL, Anul 2017, Numar, 96
Total, Calarasi, TOTAL, Anul 2018, Numar, 96
Total, Calarasi, TOTAL, Anul 2019, Numar, 95
Total, Calarasi, TOTAL, Anul 2020, Numar, 96
Total, Calarasi, TOTAL, Anul 2021, Numar, 97
Total, Cluj, TOTAL, Anul 1992, Numar, 892
Total, Cluj, TOTAL, Anul 1993, Numar, 901
Total, Cluj, TOTAL, Anul 1994, Numar, 886
Total, Cluj, TOTAL, Anul 1995, Numar, 898
Total, Cluj, TOTAL, Anul 1996, Numar, 916
Total, Cluj, TOTAL, Anul 1997, Numar, 917
Total, Cluj, TOTAL, Anul 1998, Numar, 931
Total, Cluj, TOTAL, Anul 1999, Numar, 867
Total, Cluj, TOTAL, Anul 2000, Numar, 624
Total, Cluj, TOTAL, Anul 2001, Numar, 615
Total, Cluj, TOTAL, Anul 2002, Numar, 599
Total, Cluj, TOTAL, Anul 2003, Numar, 493
Total, Cluj, TOTAL, Anul 2004, Numar, 395
Total, Cluj, TOTAL, Anul 2005, Numar, 279
Total, Cluj, TOTAL, Anul 2006, Numar, 268
Total, Cluj, TOTAL, Anul 2007, Numar, 263
Total, Cluj, TOTAL, Anul 2008, Numar, 259
Total, Cluj, TOTAL, Anul 2009, Numar, 263
Total, Cluj, TOTAL, Anul 2010, Numar, 252
Total, Cluj, TOTAL, Anul 2011, Numar, 254
Total, Cluj, TOTAL, Anul 2012, Numar, 257
Total, Cluj, TOTAL, Anul 2013, Numar, 258
Total, Cluj, TOTAL, Anul 2014, Numar, 258
Total, Cluj, TOTAL, Anul 2015, Numar, 263
Total, Cluj, TOTAL, Anul 2016, Numar, 265
Total, Cluj, TOTAL, Anul 2017, Numar, 274
Total, Cluj, TOTAL, Anul 2018, Numar, 271
Total, Cluj, TOTAL, Anul 2019, Numar, 272
Total, Cluj, TOTAL, Anul 2020, Numar, 271
Total, Cluj, TOTAL, Anul 2021, Numar, 277
Total, Constanta, TOTAL, Anul 1992, Numar, 609
Total, Constanta, TOTAL, Anul 1993, Numar, 614
Total, Constanta, TOTAL, Anul 1994, Numar, 611
Total, Constanta, TOTAL, Anul 1995, Numar, 616
Total, Constanta, TOTAL, Anul 1996, Numar, 621
Total, Constanta, TOTAL, Anul 1997, Numar, 605
Total, Constanta, TOTAL, Anul 1998, Numar, 601
Total, Constanta, TOTAL, Anul 1999, Numar, 564
Total, Constanta, TOTAL, Anul 2000, Numar, 555
Total, Constanta, TOTAL, Anul 2001, Numar, 556
Total, Constanta, TOTAL, Anul 2002, Numar, 562
Total, Constanta, TOTAL, Anul 2003, Numar, 563
Total, Constanta, TOTAL, Anul 2004, Numar, 386
Total, Constanta, TOTAL, Anul 2005, Numar, 300
Total, Constanta, TOTAL, Anul 2006, Numar, 299
Total, Constanta, TOTAL, Anul 2007, Numar, 299
Total, Constanta, TOTAL, Anul 2008, Numar, 293
Total, Constanta, TOTAL, Anul 2009, Numar, 289
Total, Constanta, TOTAL, Anul 2010, Numar, 259
Total, Constanta, TOTAL, Anul 2011, Numar, 245
Total, Constanta, TOTAL, Anul 2012, Numar, 234
Total, Constanta, TOTAL, Anul 2013, Numar, 236
Total, Constanta, TOTAL, Anul 2014, Numar, 244
Total, Constanta, TOTAL, Anul 2015, Numar, 242
Total, Constanta, TOTAL, Anul 2016, Numar, 234
Total, Constanta, TOTAL, Anul 2017, Numar, 230
Total, Constanta, TOTAL, Anul 2018, Numar, 227
Total, Constanta, TOTAL, Anul 2019, Numar, 228
Total, Constanta, TOTAL, Anul 2020, Numar, 228
Total, Constanta, TOTAL, Anul 2021, Numar, 227
Total, Covasna, TOTAL, Anul 1992, Numar, 361
Total, Covasna, TOTAL, Anul 1993, Numar, 381
Total, Covasna, TOTAL, Anul 1994, Numar, 377
Total, Covasna, TOTAL, Anul 1995, Numar, 381
Total, Covasna, TOTAL, Anul 1996, Numar, 380
Total, Covasna, TOTAL, Anul 1997, Numar, 379
Total, Covasna, TOTAL, Anul 1998, Numar, 376
Total, Covasna, TOTAL, Anul 1999, Numar, 354
Total, Covasna, TOTAL, Anul 2000, Numar, 341
Total, Covasna, TOTAL, Anul 2001, Numar, 345
Total, Covasna, TOTAL, Anul 2002, Numar, 343
Total, Covasna, TOTAL, Anul 2003, Numar, 343
Total, Covasna, TOTAL, Anul 2004, Numar, 119
Total, Covasna, TOTAL, Anul 2005, Numar, 119
Total, Covasna, TOTAL, Anul 2006, Numar, 115
Total, Covasna, TOTAL, Anul 2007, Numar, 84
Total, Covasna, TOTAL, Anul 2008, Numar, 85
Total, Covasna, TOTAL, Anul 2009, Numar, 83
Total, Covasna, TOTAL, Anul 2010, Numar, 85
Total, Covasna, TOTAL, Anul 2011, Numar, 82
Total, Covasna, TOTAL, Anul 2012, Numar, 80
Total, Covasna, TOTAL, Anul 2013, Numar, 82
Total, Covasna, TOTAL, Anul 2014, Numar, 81
Total, Covasna, TOTAL, Anul 2015, Numar, 81
Total, Covasna, TOTAL, Anul 2016, Numar, 81
