Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Urban, Alba, Anul 2020, Numar persoane, 4
Urban, Alba, Anul 2021, Numar persoane, 9
Urban, Alba, Anul 2022, Numar persoane, 3
Urban, Brasov, Anul 1990, Numar persoane, 41
Urban, Brasov, Anul 1991, Numar persoane, 28
Urban, Brasov, Anul 1992, Numar persoane, 25
Urban, Brasov, Anul 1993, Numar persoane, 13
Urban, Brasov, Anul 1994, Numar persoane, 29
Urban, Brasov, Anul 1995, Numar persoane, 16
Urban, Brasov, Anul 1996, Numar persoane, 22
Urban, Brasov, Anul 1997, Numar persoane, 16
Urban, Brasov, Anul 1998, Numar persoane, 17
Urban, Brasov, Anul 1999, Numar persoane, 21
Urban, Brasov, Anul 2000, Numar persoane, 18
Urban, Brasov, Anul 2001, Numar persoane, 13
Urban, Brasov, Anul 2002, Numar persoane, 16
Urban, Brasov, Anul 2003, Numar persoane, 22
Urban, Brasov, Anul 2004, Numar persoane, 18
Urban, Brasov, Anul 2005, Numar persoane, 12
Urban, Brasov, Anul 2006, Numar persoane, 12
Urban, Brasov, Anul 2007, Numar persoane, 17
Urban, Brasov, Anul 2008, Numar persoane, 11
Urban, Brasov, Anul 2009, Numar persoane, 16
Urban, Brasov, Anul 2010, Numar persoane, 7
Urban, Brasov, Anul 2011, Numar persoane, 6
Urban, Brasov, Anul 2012, Numar persoane, 7
Urban, Brasov, Anul 2013, Numar persoane, 8
Urban, Brasov, Anul 2014, Numar persoane, 11
Urban, Brasov, Anul 2015, Numar persoane, 2
Urban, Brasov, Anul 2016, Numar persoane, 6
Urban, Brasov, Anul 2017, Numar persoane, 5
Urban, Brasov, Anul 2018, Numar persoane, 6
Urban, Brasov, Anul 2019, Numar persoane, 3
Urban, Brasov, Anul 2020, Numar persoane, 9
Urban, Brasov, Anul 2021, Numar persoane, 8
Urban, Brasov, Anul 2022, Numar persoane, 1
Urban, Covasna, Anul 1990, Numar persoane, 16
Urban, Covasna, Anul 1991, Numar persoane, 16
Urban, Covasna, Anul 1992, Numar persoane, 12
Urban, Covasna, Anul 1993, Numar persoane, 12
Urban, Covasna, Anul 1994, Numar persoane, 11
Urban, Covasna, Anul 1995, Numar persoane, 5
Urban, Covasna, Anul 1996, Numar persoane, 4
Urban, Covasna, Anul 1997, Numar persoane, 8
Urban, Covasna, Anul 1998, Numar persoane, 6
Urban, Covasna, Anul 1999, Numar persoane, 8
Urban, Covasna, Anul 2000, Numar persoane, 8
Urban, Covasna, Anul 2001, Numar persoane, 6
Urban, Covasna, Anul 2002, Numar persoane, 10
Urban, Covasna, Anul 2003, Numar persoane, 5
Urban, Covasna, Anul 2004, Numar persoane, 8
Urban, Covasna, Anul 2005, Numar persoane, 8
Urban, Covasna, Anul 2006, Numar persoane, 6
Urban, Covasna, Anul 2007, Numar persoane, 2
Urban, Covasna, Anul 2008, Numar persoane, 6
Urban, Covasna, Anul 2009, Numar persoane, 11
Urban, Covasna, Anul 2010, Numar persoane, 8
Urban, Covasna, Anul 2011, Numar persoane, 3
Urban, Covasna, Anul 2012, Numar persoane, 5
Urban, Covasna, Anul 2013, Numar persoane, 3
Urban, Covasna, Anul 2014, Numar persoane, 4
Urban, Covasna, Anul 2015, Numar persoane, 6
Urban, Covasna, Anul 2016, Numar persoane, 3
Urban, Covasna, Anul 2017, Numar persoane, 3
Urban, Covasna, Anul 2018, Numar persoane, 2
Urban, Covasna, Anul 2019, Numar persoane, 5
Urban, Covasna, Anul 2020, Numar persoane, 5
Urban, Covasna, Anul 2021, Numar persoane, 2
Urban, Covasna, Anul 2022, Numar persoane, 5
Urban, Harghita, Anul 1990, Numar persoane, 16
Urban, Harghita, Anul 1991, Numar persoane, 11
Urban, Harghita, Anul 1992, Numar persoane, 10
Urban, Harghita, Anul 1993, Numar persoane, 16
Urban, Harghita, Anul 1994, Numar persoane, 12
Urban, Harghita, Anul 1995, Numar persoane, 2
Urban, Harghita, Anul 1996, Numar persoane, 8
Urban, Harghita, Anul 1997, Numar persoane, 14
Urban, Harghita, Anul 1998, Numar persoane, 7
Urban, Harghita, Anul 1999, Numar persoane, 15
Urban, Harghita, Anul 2000, Numar persoane, 14
Urban, Harghita, Anul 2001, Numar persoane, 15
Urban, Harghita, Anul 2002, Numar persoane, 12
Urban, Harghita, Anul 2003, Numar persoane, 10
Urban, Harghita, Anul 2004, Numar persoane, 7
Urban, Harghita, Anul 2005, Numar persoane, 9
Urban, Harghita, Anul 2006, Numar persoane, 10
Urban, Harghita, Anul 2007, Numar persoane, 4
Urban, Harghita, Anul 2008, Numar persoane, 6
Urban, Harghita, Anul 2009, Numar persoane, 5
Urban, Harghita, Anul 2010, Numar persoane, 8
Urban, Harghita, Anul 2011, Numar persoane, 11
Urban, Harghita, Anul 2012, Numar persoane, 4
Urban, Harghita, Anul 2013, Numar persoane, 3
Urban, Harghita, Anul 2014, Numar persoane, 11
Urban, Harghita, Anul 2015, Numar persoane, 9
Urban, Harghita, Anul 2016, Numar persoane, 6
Urban, Harghita, Anul 2017, Numar persoane, 6
Urban, Harghita, Anul 2018, Numar persoane, 2
Urban, Harghita, Anul 2019, Numar persoane, 3
Urban, Harghita, Anul 2020, Numar persoane, 7
Urban, Harghita, Anul 2021, Numar persoane, 6
Urban, Harghita, Anul 2022, Numar persoane, 4
Urban, Mures, Anul 1990, Numar persoane, 34
Urban, Mures, Anul 1991, Numar persoane, 29
Urban, Mures, Anul 1992, Numar persoane, 20
Urban, Mures, Anul 1993, Numar persoane, 22
Urban, Mures, Anul 1994, Numar persoane, 25
Urban, Mures, Anul 1995, Numar persoane, 24
Urban, Mures, Anul 1996, Numar persoane, 18
Urban, Mures, Anul 1997, Numar persoane, 20
Urban, Mures, Anul 1998, Numar persoane, 13
Urban, Mures, Anul 1999, Numar persoane, 15
Urban, Mures, Anul 2000, Numar persoane, 18
Urban, Mures, Anul 2001, Numar persoane, 14
Urban, Mures, Anul 2002, Numar persoane, 13
Urban, Mures, Anul 2003, Numar persoane, 15
Urban, Mures, Anul 2004, Numar persoane, 18
Urban, Mures, Anul 2005, Numar persoane, 16
Urban, Mures, Anul 2006, Numar persoane, 20
Urban, Mures, Anul 2007, Numar persoane, 16
Urban, Mures, Anul 2008, Numar persoane, 15
Urban, Mures, Anul 2009, Numar persoane, 17
Urban, Mures, Anul 2010, Numar persoane, 7
Urban, Mures, Anul 2011, Numar persoane, 6
Urban, Mures, Anul 2012, Numar persoane, 11
Urban, Mures, Anul 2013, Numar persoane, 12
Urban, Mures, Anul 2014, Numar persoane, 25
Urban, Mures, Anul 2015, Numar persoane, 22
Urban, Mures, Anul 2016, Numar persoane, 11
Urban, Mures, Anul 2017, Numar persoane, 12
Urban, Mures, Anul 2018, Numar persoane, 26
Urban, Mures, Anul 2019, Numar persoane, 10
Urban, Mures, Anul 2020, Numar persoane, 11
Urban, Mures, Anul 2021, Numar persoane, 16
Urban, Mures, Anul 2022, Numar persoane, 5
Urban, Sibiu, Anul 1990, Numar persoane, 31
Urban, Sibiu, Anul 1991, Numar persoane, 27
Urban, Sibiu, Anul 1992, Numar persoane, 29
Urban, Sibiu, Anul 1993, Numar persoane, 32
Urban, Sibiu, Anul 1994, Numar persoane, 12
Urban, Sibiu, Anul 1995, Numar persoane, 20
Urban, Sibiu, Anul 1996, Numar persoane, 18
Urban, Sibiu, Anul 1997, Numar persoane, 22
Urban, Sibiu, Anul 1998, Numar persoane, 31
Urban, Sibiu, Anul 1999, Numar persoane, 17
Urban, Sibiu, Anul 2000, Numar persoane, 16
Urban, Sibiu, Anul 2001, Numar persoane, 12
Urban, Sibiu, Anul 2002, Numar persoane, 20
Urban, Sibiu, Anul 2003, Numar persoane, 25
Urban, Sibiu, Anul 2004, Numar persoane, 20
Urban, Sibiu, Anul 2005, Numar persoane, 19
Urban, Sibiu, Anul 2006, Numar persoane, 24
Urban, Sibiu, Anul 2007, Numar persoane, 26
Urban, Sibiu, Anul 2008, Numar persoane, 17
Urban, Sibiu, Anul 2009, Numar persoane, 23
Urban, Sibiu, Anul 2010, Numar persoane, 15
Urban, Sibiu, Anul 2011, Numar persoane, 8
Urban, Sibiu, Anul 2012, Numar persoane, 14
Urban, Sibiu, Anul 2013, Numar persoane, 14
Urban, Sibiu, Anul 2014, Numar persoane, 15
Urban, Sibiu, Anul 2015, Numar persoane, 10
Urban, Sibiu, Anul 2016, Numar persoane, 8
Urban, Sibiu, Anul 2017, Numar persoane, 5
Urban, Sibiu, Anul 2018, Numar persoane, 5
Urban, Sibiu, Anul 2019, Numar persoane, 5
Urban, Sibiu, Anul 2020, Numar persoane, 3
Urban, Sibiu, Anul 2021, Numar persoane, 2
Urban, Sibiu, Anul 2022, Numar persoane, 4
Urban, Bacau, Anul 1990, Numar persoane, 49
Urban, Bacau, Anul 1991, Numar persoane, 32
Urban, Bacau, Anul 1992, Numar persoane, 26
Urban, Bacau, Anul 1993, Numar persoane, 14
Urban, Bacau, Anul 1994, Numar persoane, 22
Urban, Bacau, Anul 1995, Numar persoane, 20
Urban, Bacau, Anul 1996, Numar persoane, 10
Urban, Bacau, Anul 1997, Numar persoane, 27
Urban, Bacau, Anul 1998, Numar persoane, 22
Urban, Bacau, Anul 1999, Numar persoane, 16
Urban, Bacau, Anul 2000, Numar persoane, 16
Urban, Bacau, Anul 2001, Numar persoane, 15
Urban, Bacau, Anul 2002, Numar persoane, 21
Urban, Bacau, Anul 2003, Numar persoane, 16
Urban, Bacau, Anul 2004, Numar persoane, 21
Urban, Bacau, Anul 2005, Numar persoane, 14
Urban, Bacau, Anul 2006, Numar persoane, 11
Urban, Bacau, Anul 2007, Numar persoane, 5
Urban, Bacau, Anul 2008, Numar persoane, 4
Urban, Bacau, Anul 2009, Numar persoane, 7
Urban, Bacau, Anul 2010, Numar persoane, 8
Urban, Bacau, Anul 2011, Numar persoane, 6
Urban, Bacau, Anul 2012, Numar persoane, 3
Urban, Bacau, Anul 2013, Numar persoane, 5
Urban, Bacau, Anul 2014, Numar persoane, 3
Urban, Bacau, Anul 2015, Numar persoane, 8
Urban, Bacau, Anul 2016, Numar persoane, 6
Urban, Bacau, Anul 2017, Numar persoane, 5
Urban, Bacau, Anul 2018, Numar persoane, 6
Urban, Bacau, Anul 2019, Numar persoane, 7
Urban, Bacau, Anul 2020, Numar persoane, 5
Urban, Bacau, Anul 2021, Numar persoane, 5
Urban, Bacau, Anul 2022, Numar persoane, 7
Urban, Botosani, Anul 1990, Numar persoane, 30
Urban, Botosani, Anul 1991, Numar persoane, 23
Urban, Botosani, Anul 1992, Numar persoane, 22
Urban, Botosani, Anul 1993, Numar persoane, 13
Urban, Botosani, Anul 1994, Numar persoane, 17
Urban, Botosani, Anul 1995, Numar persoane, 18
Urban, Botosani, Anul 1996, Numar persoane, 11
Urban, Botosani, Anul 1997, Numar persoane, 15
Urban, Botosani, Anul 1998, Numar persoane, 17
Urban, Botosani, Anul 1999, Numar persoane, 16
Urban, Botosani, Anul 2000, Numar persoane, 10
Urban, Botosani, Anul 2001, Numar persoane, 8
Urban, Botosani, Anul 2002, Numar persoane, 13
Urban, Botosani, Anul 2003, Numar persoane, 12
Urban, Botosani, Anul 2004, Numar persoane, 10
Urban, Botosani, Anul 2005, Numar persoane, 14
Urban, Botosani, Anul 2006, Numar persoane, 5
Urban, Botosani, Anul 2007, Numar persoane, 5
Urban, Botosani, Anul 2008, Numar persoane, 10
Urban, Botosani, Anul 2009, Numar persoane, 5
Urban, Botosani, Anul 2010, Numar persoane, 8
Urban, Botosani, Anul 2011, Numar persoane, 9
Urban, Botosani, Anul 2012, Numar persoane, 7
Urban, Botosani, Anul 2013, Numar persoane, 9
Urban, Botosani, Anul 2014, Numar persoane, 4
Urban, Botosani, Anul 2015, Numar persoane, 6
