YEARS,COUNTIES,EMIGRANTS,BORN_URBAN,BORN_RURAL,DEAD_URBAN,DEAD_RURAL,DIVORCES_URBAN,DIVORCES_RURAL,UNEMPLOYMENT_RATE_MALE,UNEMPLOYMENT_RATE_FEMALE,EDUCATIONAL_UNITS,TEACHING_STAFF,CONFLICTS_OF_INTEREST,HOSPITALS
 Anul 2003, Harghita,182.0,1416.0,2030.0,10.0,11.0,269.0,127.0,8.0,7.7,569,4612.0,1.0,5.0
 Anul 2004, Harghita,402.0,1567.0,2090.0,7.0,14.0,235.0,160.0,8.0,6.2,557,4604.0,2.0,5.0
 Anul 2005, Harghita,308.0,1655.0,2133.0,9.0,17.0,239.0,143.0,9.8,7.2,160,4481.0,2.0,5.0
 Anul 2006, Harghita,290.0,1636.0,2191.0,10.0,15.0,245.0,129.0,8.4,5.9,159,4349.0,1.0,5.0
 Anul 2007, Harghita,103.0,1562.0,2070.0,4.0,13.0,231.0,133.0,5.3,4.9,162,4180.0,2.0,5.0
 Anul 2008, Harghita,108.0,1581.0,2148.0,6.0,14.0,226.0,146.0,6.7,6.2,163,4233.0,1.0,5.0
 Anul 2009, Harghita,111.0,1520.0,2124.0,5.0,16.0,218.0,120.0,11.5,9.3,164,4368.0,0.0,5.0
 Anul 2010, Harghita,82.0,1543.0,1999.0,8.0,12.0,227.0,157.0,9.1,8.4,158,4109.0,0.0,5.0
 Anul 2011, Harghita,130.0,1292.0,1986.0,11.0,13.0,259.0,145.0,6.8,6.2,152,4122.0,1.0,5.0
 Anul 2012, Harghita,114.0,1360.0,2000.0,4.0,14.0,240.0,131.0,7.9,6.5,150,4127.0,0.0,5.0
 Anul 2013, Harghita,111.0,1391.0,2008.0,3.0,10.0,204.0,145.0,7.3,6.7,131,4126.0,0.0,5.0
 Anul 2014, Harghita,89.0,1346.0,2025.0,11.0,13.0,174.0,112.0,6.2,5.6,130,4186.0,0.0,5.0
 Anul 2015, Harghita,100.0,1301.0,1929.0,9.0,12.0,202.0,139.0,5.7,5.3,132,4072.0,0.0,5.0
 Anul 2016, Harghita,115.0,1295.0,1958.0,6.0,9.0,193.0,140.0,5.9,5.6,129,4163.0,0.0,5.0
 Anul 2017, Harghita,96.0,1302.0,1965.0,6.0,6.0,209.0,147.0,5.1,4.5,128,4135.0,0.0,5.0
 Anul 2018, Harghita,99.0,1227.0,2055.0,2.0,14.0,191.0,143.0,4.3,4.2,128,4184.0,0.0,5.0
 Anul 2019, Harghita,105.0,1265.0,2013.0,3.0,5.0,207.0,159.0,3.8,3.9,129,4223.0,0.0,5.0
 Anul 2020, Harghita,81.0,1123.0,1886.0,7.0,9.0,168.0,114.0,3.9,5.4,130,4259.0,0.0,5.0
 Anul 2021, Harghita,138.0,1108.0,1906.0,6.0,6.0,184.0,149.0,3.7,4.2,130,4373.0,0.0,5.0
 Anul 1992, Hunedoara,570.0,5153.0,1143.0,43.0,10.0,972.0,156.0,2.7,12.5,742,5247.0,10.0,14.0
 Anul 1993, Hunedoara,311.0,4822.0,1090.0,40.0,10.0,1299.0,182.0,4.6,12.7,753,5444.0,9.0,13.0
 Anul 1994, Hunedoara,323.0,4592.0,1038.0,33.0,7.0,1319.0,147.0,5.9,15.6,754,5676.0,20.0,12.0
 Anul 1995, Hunedoara,545.0,4319.0,966.0,43.0,10.0,1324.0,163.0,7.2,17.5,766,6166.0,13.0,13.0
 Anul 1996, Hunedoara,396.0,4409.0,995.0,36.0,12.0,1334.0,172.0,6.4,15.9,779,6438.0,10.0,13.0
 Anul 1997, Hunedoara,411.0,4444.0,963.0,36.0,8.0,1259.0,195.0,13.5,16.8,758,6279.0,20.0,14.0
 Anul 1998, Hunedoara,291.0,4104.0,996.0,23.0,10.0,1481.0,206.0,16.7,21.3,773,6373.0,15.0,14.0
 Anul 1999, Hunedoara,227.0,3782.0,954.0,26.0,6.0,1427.0,179.0,20.5,22.4,687,5989.0,38.0,14.0
 Anul 2000, Hunedoara,258.0,3765.0,941.0,43.0,10.0,1140.0,166.0,15.5,17.5,478,5945.0,3.0,13.0
 Anul 2001, Hunedoara,168.0,3683.0,818.0,33.0,5.0,1108.0,133.0,14.7,16.0,470,6288.0,4.0,13.0
 Anul 2002, Hunedoara,158.0,3396.0,793.0,27.0,8.0,1243.0,190.0,9.2,10.5,460,5855.0,1.0,13.0
 Anul 2003, Hunedoara,239.0,3306.0,754.0,28.0,5.0,1296.0,167.0,13.1,11.7,207,5621.0,7.0,11.0
 Anul 2004, Hunedoara,271.0,3478.0,786.0,32.0,6.0,1210.0,167.0,11.2,10.4,212,5841.0,2.0,11.0
 Anul 2005, Hunedoara,194.0,3418.0,763.0,22.0,11.0,1026.0,136.0,9.5,9.4,210,5622.0,2.0,11.0
 Anul 2006, Hunedoara,308.0,3299.0,786.0,27.0,9.0,1119.0,159.0,6.8,6.5,178,5387.0,1.0,11.0
 Anul 2007, Hunedoara,247.0,3248.0,769.0,23.0,6.0,1183.0,132.0,4.3,5.4,176,5399.0,1.0,11.0
 Anul 2008, Hunedoara,246.0,3250.0,731.0,24.0,7.0,1107.0,158.0,5.7,7.8,173,5307.0,4.0,11.0
 Anul 2009, Hunedoara,300.0,3163.0,758.0,20.0,7.0,960.0,131.0,10.4,11.0,169,5243.0,5.0,11.0
 Anul 2010, Hunedoara,220.0,2996.0,687.0,19.0,4.0,1067.0,131.0,8.8,8.1,111,4861.0,2.0,11.0
 Anul 2011, Hunedoara,364.0,2613.0,657.0,20.0,9.0,1010.0,164.0,6.1,5.8,111,4754.0,3.0,10.0
 Anul 2012, Hunedoara,339.0,2703.0,733.0,13.0,3.0,846.0,153.0,6.6,6.7,112,4542.0,1.0,10.0
 Anul 2013, Hunedoara,395.0,2826.0,670.0,11.0,5.0,708.0,146.0,7.3,7.6,120,4613.0,6.0,10.0
 Anul 2014, Hunedoara,290.0,2773.0,735.0,16.0,5.0,615.0,120.0,6.3,6.9,115,4427.0,1.0,10.0
 Anul 2015, Hunedoara,354.0,2975.0,770.0,16.0,2.0,686.0,117.0,5.9,6.3,113,4224.0,7.0,10.0
 Anul 2016, Hunedoara,555.0,3027.0,725.0,14.0,6.0,640.0,110.0,5.5,6.5,113,4047.0,3.0,10.0
 Anul 2017, Hunedoara,632.0,3007.0,687.0,21.0,0.0,685.0,112.0,4.4,4.6,112,4000.0,1.0,11.0
 Anul 2018, Hunedoara,633.0,2899.0,780.0,20.0,8.0,708.0,122.0,3.1,3.8,111,3842.0,0.0,10.0
 Anul 2019, Hunedoara,571.0,2827.0,657.0,17.0,2.0,713.0,111.0,2.7,3.4,111,3857.0,1.0,10.0
 Anul 2020, Hunedoara,497.0,2533.0,728.0,12.0,4.0,495.0,63.0,2.8,4.0,111,3804.0,0.0,10.0
 Anul 2021, Hunedoara,784.0,2575.0,630.0,14.0,2.0,614.0,114.0,3.8,4.3,111,3875.0,0.0,10.0
 Anul 1992, Ialomita,39.0,1385.0,2095.0,10.0,15.0,202.0,143.0,7.0,10.1,341,3176.0,3.0,5.0
 Anul 1993, Ialomita,27.0,1461.0,2283.0,13.0,14.0,244.0,145.0,7.9,13.3,332,3128.0,0.0,5.0
 Anul 1994, Ialomita,28.0,1463.0,2273.0,15.0,14.0,325.0,219.0,8.9,12.3,336,3172.0,1.0,5.0
 Anul 1995, Ialomita,46.0,1306.0,2190.0,6.0,14.0,266.0,171.0,8.0,9.4,336,3209.0,1.0,5.0
 Anul 1996, Ialomita,63.0,1315.0,2014.0,13.0,16.0,276.0,179.0,5.8,6.4,330,3418.0,1.0,5.0
 Anul 1997, Ialomita,56.0,1348.0,2033.0,8.0,18.0,304.0,163.0,11.1,9.0,327,3421.0,0.0,5.0
 Anul 1998, Ialomita,48.0,1359.0,2163.0,12.0,14.0,294.0,182.0,13.9,11.0,324,3325.0,1.0,5.0
 Anul 1999, Ialomita,57.0,1319.0,2134.0,10.0,18.0,264.0,159.0,14.3,11.6,304,2976.0,11.0,5.0
 Anul 2000, Ialomita,85.0,1335.0,2108.0,7.0,13.0,266.0,161.0,15.0,11.0,265,2977.0,4.0,5.0
 Anul 2001, Ialomita,47.0,1129.0,2024.0,13.0,15.0,239.0,155.0,16.4,10.5,262,3134.0,2.0,5.0
 Anul 2002, Ialomita,22.0,1126.0,1872.0,5.0,11.0,262.0,142.0,13.9,10.1,244,2872.0,1.0,5.0
 Anul 2003, Ialomita,46.0,1070.0,1896.0,9.0,15.0,233.0,143.0,11.5,10.6,151,2980.0,0.0,4.0
 Anul 2004, Ialomita,42.0,1198.0,1652.0,13.0,13.0,286.0,182.0,11.9,8.9,118,3088.0,0.0,4.0
 Anul 2005, Ialomita,31.0,1429.0,1691.0,7.0,15.0,255.0,127.0,13.6,10.5,118,2991.0,1.0,4.0
 Anul 2006, Ialomita,32.0,1575.0,1686.0,11.0,15.0,244.0,121.0,10.6,7.0,115,2967.0,2.0,4.0
 Anul 2007, Ialomita,25.0,1665.0,1667.0,9.0,11.0,324.0,162.0,7.5,6.2,115,2964.0,0.0,4.0
 Anul 2008, Ialomita,23.0,1690.0,1763.0,7.0,9.0,276.0,210.0,5.3,4.6,114,2927.0,3.0,4.0
 Anul 2009, Ialomita,36.0,1589.0,1810.0,6.0,10.0,193.0,160.0,13.1,9.1,125,2905.0,0.0,4.0
 Anul 2010, Ialomita,40.0,1506.0,1712.0,10.0,10.0,184.0,150.0,11.9,7.7,127,2780.0,0.0,4.0
 Anul 2011, Ialomita,72.0,1411.0,1577.0,6.0,12.0,291.0,177.0,9.0,6.1,123,2726.0,0.0,3.0
 Anul 2012, Ialomita,83.0,1335.0,1582.0,10.0,11.0,230.0,181.0,9.3,6.0,92,2717.0,0.0,3.0
 Anul 2013, Ialomita,156.0,1645.0,1516.0,2.0,12.0,221.0,142.0,9.0,6.0,95,2685.0,0.0,4.0
 Anul 2014, Ialomita,92.0,1298.0,1537.0,2.0,8.0,160.0,109.0,9.8,6.3,98,2495.0,0.0,4.0
 Anul 2015, Ialomita,126.0,1375.0,1414.0,2.0,8.0,201.0,143.0,8.9,6.8,98,2448.0,0.0,4.0
 Anul 2016, Ialomita,255.0,1351.0,1475.0,14.0,5.0,252.0,161.0,9.0,6.5,95,2447.0,0.0,4.0
 Anul 2017, Ialomita,206.0,1437.0,1486.0,3.0,10.0,186.0,139.0,7.4,6.2,93,2341.0,0.0,4.0
 Anul 2018, Ialomita,251.0,1438.0,1456.0,7.0,4.0,265.0,173.0,6.1,5.1,91,2328.0,0.0,4.0
 Anul 2019, Ialomita,198.0,1398.0,1443.0,4.0,6.0,198.0,173.0,4.7,4.3,90,2319.0,0.0,4.0
 Anul 2020, Ialomita,160.0,1249.0,1473.0,6.0,6.0,201.0,182.0,5.0,4.8,91,2309.0,0.0,4.0
 Anul 2021, Ialomita,234.0,1185.0,1418.0,3.0,8.0,198.0,130.0,5.3,5.2,92,2274.0,0.0,4.0
 Anul 1992, Iasi,214.0,3719.0,7148.0,16.0,32.0,568.0,106.0,8.9,13.1,1051,12941.0,8.0,21.0
 Anul 1993, Iasi,112.0,3761.0,7162.0,10.0,27.0,597.0,146.0,10.6,12.4,1060,13025.0,13.0,21.0
 Anul 1994, Iasi,139.0,3669.0,7184.0,13.0,20.0,1081.0,280.0,15.5,16.7,1050,13813.0,10.0,21.0
 Anul 1995, Iasi,319.0,3639.0,7032.0,10.0,21.0,947.0,244.0,13.6,11.8,1075,14560.0,6.0,20.0
 Anul 1996, Iasi,309.0,3495.0,6671.0,12.0,20.0,967.0,216.0,9.4,8.4,1078,14953.0,4.0,19.0
 Anul 1997, Iasi,457.0,3748.0,7029.0,12.0,26.0,976.0,272.0,11.1,9.7,998,14858.0,4.0,20.0
 Anul 1998, Iasi,404.0,3899.0,7380.0,14.0,36.0,1170.0,415.0,12.2,10.0,1051,15055.0,4.0,20.0
 Anul 1999, Iasi,285.0,3790.0,7433.0,12.0,26.0,946.0,308.0,12.9,11.7,1021,14524.0,6.0,21.0
 Anul 2000, Iasi,423.0,3807.0,7597.0,12.0,28.0,833.0,270.0,11.8,10.1,1002,14742.0,6.0,22.0
 Anul 2001, Iasi,340.0,3713.0,7215.0,9.0,26.0,745.0,256.0,9.7,9.2,1011,14776.0,2.0,21.0
 Anul 2002, Iasi,128.0,3537.0,6866.0,13.0,19.0,601.0,248.0,9.7,9.7,1000,13914.0,6.0,20.0
 Anul 2003, Iasi,282.0,3581.0,6344.0,8.0,13.0,548.0,293.0,11.6,7.3,997,13914.0,4.0,20.0
 Anul 2004, Iasi,386.0,3943.0,6168.0,5.0,15.0,577.0,312.0,9.1,5.1,365,14046.0,4.0,20.0
 Anul 2005, Iasi,397.0,4214.0,6000.0,3.0,20.0,429.0,278.0,8.8,5.4,362,13767.0,4.0,20.0
 Anul 2006, Iasi,550.0,4370.0,5754.0,4.0,14.0,336.0,266.0,8.1,4.8,362,13468.0,5.0,20.0
 Anul 2007, Iasi,341.0,4407.0,5944.0,7.0,16.0,287.0,265.0,6.4,4.8,362,13332.0,2.0,20.0
 Anul 2008, Iasi,328.0,4585.0,5825.0,9.0,15.0,393.0,399.0,5.7,5.0,366,13061.0,2.0,20.0
 Anul 2009, Iasi,453.0,4388.0,5529.0,10.0,12.0,405.0,378.0,8.3,6.4,353,12830.0,0.0,21.0
 Anul 2010, Iasi,331.0,4484.0,5015.0,8.0,4.0,520.0,453.0,7.8,6.0,316,12294.0,4.0,24.0
 Anul 2011, Iasi,769.0,3877.0,4727.0,10.0,6.0,540.0,427.0,6.0,4.8,292,11999.0,0.0,25.0
 Anul 2012, Iasi,678.0,4189.0,5067.0,2.0,3.0,474.0,417.0,5.8,4.4,248,11780.0,0.0,30.0
 Anul 2013, Iasi,609.0,5515.0,5513.0,8.0,5.0,707.0,387.0,5.9,4.4,266,11673.0,0.0,33.0
 Anul 2014, Iasi,542.0,4766.0,5136.0,9.0,14.0,605.0,441.0,5.7,4.2,273,11705.0,0.0,36.0
 Anul 2015, Iasi,829.0,5136.0,5205.0,5.0,15.0,652.0,454.0,4.9,4.0,269,11495.0,0.0,36.0
 Anul 2016, Iasi,1289.0,5043.0,5300.0,5.0,2.0,647.0,427.0,5.0,3.9,262,11331.0,1.0,35.0
 Anul 2017, Iasi,1491.0,5545.0,5523.0,1.0,7.0,659.0,444.0,4.3,3.8,264,11469.0,1.0,35.0
 Anul 2018, Iasi,1876.0,5688.0,5591.0,5.0,6.0,738.0,555.0,3.2,2.9,261,11526.0,1.0,27.0
 Anul 2019, Iasi,1925.0,5714.0,5873.0,5.0,5.0,592.0,517.0,2.8,2.6,261,11573.0,0.0,27.0
 Anul 2020, Iasi,1831.0,5085.0,5649.0,12.0,10.0,536.0,492.0,3.1,3.2,260,11630.0,0.0,27.0
 Anul 2021, Iasi,3027.0,4700.0,5812.0,5.0,7.0,583.0,656.0,3.1,2.9,262,11738.0,0.0,29.0
 Anul 1992, Ilfov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266,0.0,0.0,0.0
 Anul 1993, Ilfov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,0.0,0.0,0.0
 Anul 1994, Ilfov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264,0.0,0.0,4.0
 Anul 1995, Ilfov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,0.0,0.0,4.0
 Anul 1996, Ilfov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264,2640.0,0.0,4.0
 Anul 1997, Ilfov,66.0,207.0,2448.0,2.0,12.0,19.0,99.0,3.8,5.2,267,2659.0,0.0,4.0
 Anul 1998, Ilfov,50.0,193.0,2417.0,1.0,22.0,20.0,135.0,4.1,5.1,264,2551.0,0.0,4.0
 Anul 1999, Ilfov,38.0,198.0,2331.0,1.0,15.0,12.0,115.0,5.8,5.8,261,2564.0,0.0,4.0
 Anul 2000, Ilfov,52.0,200.0,2508.0,0.0,11.0,20.0,129.0,6.3,6.1,241,2552.0,0.0,5.0
 Anul 2001, Ilfov,36.0,240.0,2224.0,2.0,15.0,27.0,167.0,4.5,7.3,246,2631.0,0.0,5.0
 Anul 2002, Ilfov,22.0,262.0,2384.0,3.0,7.0,20.0,115.0,4.9,5.8,242,2471.0,0.0,6.0
 Anul 2003, Ilfov,34.0,268.0,2395.0,1.0,12.0,33.0,171.0,4.1,6.1,128,2399.0,0.0,5.0
 Anul 2004, Ilfov,39.0,768.0,2153.0,1.0,17.0,53.0,141.0,4.2,3.9,125,2506.0,0.0,5.0
 Anul 2005, Ilfov,17.0,777.0,2270.0,4.0,12.0,36.0,94.0,2.0,2.0,103,2514.0,0.0,6.0
 Anul 2006, Ilfov,37.0,1345.0,1813.0,1.0,4.0,70.0,63.0,1.7,2.0,102,2451.0,0.0,7.0
 Anul 2007, Ilfov,18.0,1431.0,1958.0,8.0,11.0,116.0,143.0,1.1,1.7,105,2526.0,0.0,7.0
 Anul 2008, Ilfov,40.0,1599.0,2112.0,10.0,10.0,151.0,203.0,1.0,1.7,103,2363.0,3.0,7.0
 Anul 2009, Ilfov,50.0,1825.0,2237.0,6.0,7.0,202.0,193.0,2.3,2.6,97,2364.0,3.0,8.0
 Anul 2010, Ilfov,23.0,1661.0,2170.0,2.0,5.0,173.0,166.0,2.6,2.8,91,2265.0,0.0,8.0
 Anul 2011, Ilfov,72.0,1565.0,2044.0,5.0,8.0,191.0,155.0,1.5,1.8,77,2255.0,0.0,6.0
 Anul 2012, Ilfov,57.0,1697.0,2167.0,8.0,5.0,164.0,129.0,1.6,2.0,83,2350.0,1.0,8.0
 Anul 2013, Ilfov,105.0,1758.0,2252.0,0.0,9.0,185.0,181.0,1.8,2.0,119,2646.0,0.0,8.0
 Anul 2014, Ilfov,133.0,1898.0,2245.0,6.0,6.0,246.0,230.0,1.4,1.7,129,2776.0,0.0,8.0
 Anul 2015, Ilfov,174.0,2131.0,2394.0,4.0,3.0,297.0,266.0,1.1,1.4,128,2762.0,1.0,9.0
 Anul 2016, Ilfov,214.0,2298.0,2718.0,8.0,8.0,376.0,372.0,1.0,1.1,132,2747.0,1.0,9.0
 Anul 2017, Ilfov,276.0,2497.0,2699.0,5.0,3.0,389.0,393.0,0.6,0.7,137,2845.0,0.0,9.0
 Anul 2018, Ilfov,305.0,2445.0,2684.0,3.0,6.0,415.0,443.0,0.5,0.8,132,2939.0,0.0,8.0
 Anul 2019, Ilfov,319.0,2361.0,2549.0,5.0,8.0,430.0,352.0,0.3,0.5,132,3111.0,0.0,9.0
 Anul 2020, Ilfov,278.0,2185.0,2528.0,2.0,7.0,263.0,261.0,0.5,1.0,132,3243.0,0.0,9.0
 Anul 2021, Ilfov,434.0,2247.0,2642.0,3.0,14.0,275.0,290.0,0.2,0.6,136,3385.0,0.0,9.0
 Anul 1992, Maramures,747.0,3894.0,3777.0,48.0,41.0,390.0,137.0,5.6,8.8,708,7292.0,14.0,10.0
 Anul 1993, Maramures,413.0,3626.0,3424.0,35.0,41.0,522.0,182.0,6.1,10.5,703,7164.0,23.0,10.0
 Anul 1994, Maramures,383.0,3397.0,3356.0,36.0,27.0,726.0,216.0,7.5,11.0,676,7504.0,11.0,9.0
 Anul 1995, Maramures,658.0,3302.0,3257.0,39.0,26.0,537.0,164.0,5.3,9.5,670,7624.0,5.0,9.0
 Anul 1996, Maramures,577.0,3383.0,3226.0,54.0,36.0,655.0,165.0,2.5,3.2,662,7665.0,5.0,9.0
 Anul 1997, Maramures,461.0,3426.0,3158.0,36.0,39.0,598.0,176.0,11.9,9.1,659,7843.0,4.0,9.0
 Anul 1998, Maramures,285.0,3393.0,3191.0,24.0,26.0,812.0,270.0,9.6,8.0,665,7887.0,12.0,9.0
 Anul 1999, Maramures,179.0,3213.0,3008.0,29.0,27.0,628.0,176.0,9.6,10.2,623,7461.0,15.0,9.0
 Anul 2000, Maramures,297.0,3113.0,3029.0,32.0,34.0,615.0,204.0,9.9,8.5,366,7318.0,4.0,9.0
 Anul 2001, Maramures,204.0,2926.0,2815.0,23.0,24.0,616.0,207.0,8.1,5.8,365,7391.0,1.0,9.0
 Anul 2002, Maramures,173.0,2736.0,2660.0,23.0,19.0,628.0,195.0,8.2,4.7,369,6974.0,3.0,9.0
 Anul 2003, Maramures,289.0,2785.0,2546.0,20.0,24.0,727.0,206.0,5.9,4.8,291,6852.0,2.0,9.0
 Anul 2004, Maramures,348.0,3367.0,2322.0,19.0,14.0,770.0,250.0,5.3,3.8,291,6897.0,2.0,9.0
 Anul 2005, Maramures,282.0,3505.0,2155.0,12.0,19.0,678.0,228.0,4.9,4.0,291,6802.0,1.0,9.0
 Anul 2006, Maramures,330.0,3457.0,2095.0,8.0,15.0,583.0,223.0,4.7,3.2,195,6697.0,4.0,11.0
 Anul 2007, Maramures,195.0,3250.0,2033.0,16.0,13.0,766.0,250.0,3.9,2.9,199,6720.0,2.0,11.0
 Anul 2008, Maramures,179.0,3401.0,2104.0,15.0,14.0,746.0,210.0,3.8,3.5,200,6867.0,4.0,11.0
 Anul 2009, Maramures,273.0,3196.0,2098.0,9.0,16.0,581.0,230.0,7.2,5.5,205,6642.0,1.0,11.0
 Anul 2010, Maramures,183.0,3060.0,1968.0,11.0,5.0,709.0,267.0,6.3,5.7,185,6187.0,0.0,11.0
 Anul 2011, Maramures,296.0,2934.0,1799.0,11.0,9.0,629.0,271.0,4.3,3.9,177,6003.0,0.0,10.0
 Anul 2012, Maramures,310.0,2874.0,1967.0,13.0,5.0,571.0,214.0,4.3,3.8,183,5552.0,0.0,10.0
 Anul 2013, Maramures,374.0,2997.0,2102.0,9.0,11.0,503.0,188.0,4.0,3.6,191,5858.0,1.0,11.0
 Anul 2014, Maramures,273.0,2715.0,2001.0,9.0,8.0,498.0,201.0,3.6,3.4,191,5779.0,0.0,11.0
 Anul 2015, Maramures,330.0,2961.0,2074.0,12.0,6.0,582.0,217.0,3.6,3.4,185,5579.0,0.0,12.0
 Anul 2016, Maramures,466.0,2946.0,2102.0,11.0,11.0,563.0,250.0,3.3,3.3,189,5431.0,0.0,12.0
 Anul 2017, Maramures,482.0,2991.0,2135.0,10.0,7.0,553.0,215.0,3.2,3.1,191,5443.0,0.0,12.0
 Anul 2018, Maramures,550.0,3047.0,2107.0,12.0,9.0,530.0,226.0,3.0,3.4,187,5323.0,0.0,13.0
 Anul 2019, Maramures,448.0,2900.0,2065.0,11.0,6.0,502.0,221.0,2.4,2.7,187,5416.0,0.0,13.0
 Anul 2020, Maramures,393.0,2707.0,1996.0,9.0,7.0,446.0,150.0,2.2,2.5,182,5357.0,0.0,13.0
 Anul 2021, Maramures,662.0,2623.0,2035.0,9.0,9.0,446.0,193.0,1.8,2.5,183,5271.0,0.0,13.0
 Anul 1992, Mehedinti,138.0,1849.0,1946.0,9.0,11.0,171.0,86.0,4.9,9.2,572,3865.0,2.0,7.0
 Anul 1993, Mehedinti,78.0,1589.0,2118.0,11.0,12.0,225.0,131.0,8.6,11.7,572,3827.0,4.0,7.0
 Anul 1994, Mehedinti,100.0,1556.0,1884.0,10.0,12.0,256.0,129.0,7.2,8.3,566,3928.0,0.0,7.0
 Anul 1995, Mehedinti,98.0,1443.0,1922.0,8.0,14.0,179.0,90.0,6.4,6.0,572,4012.0,0.0,6.0
 Anul 1996, Mehedinti,113.0,1457.0,1900.0,10.0,10.0,180.0,102.0,5.3,3.5,570,4023.0,2.0,6.0
 Anul 1997, Mehedinti,169.0,1335.0,1942.0,4.0,14.0,289.0,124.0,8.6,6.8,563,3985.0,1.0,6.0
 Anul 1998, Mehedinti,105.0,1422.0,1823.0,3.0,11.0,341.0,160.0,10.5,8.2,564,3960.0,1.0,6.0
 Anul 1999, Mehedinti,88.0,1376.0,1785.0,7.0,8.0,330.0,136.0,10.6,8.2,548,3923.0,6.0,6.0
 Anul 2000, Mehedinti,111.0,1300.0,1774.0,5.0,10.0,246.0,87.0,11.8,8.8,460,3846.0,0.0,6.0
 Anul 2001, Mehedinti,53.0,1271.0,1693.0,10.0,20.0,293.0,98.0,9.9,7.5,384,3922.0,3.0,6.0
 Anul 2002, Mehedinti,36.0,1226.0,1572.0,7.0,13.0,368.0,128.0,9.8,7.6,375,3908.0,2.0,6.0
 Anul 2003, Mehedinti,44.0,1231.0,1555.0,11.0,11.0,422.0,122.0,10.1,7.4,180,3768.0,2.0,6.0
 Anul 2004, Mehedinti,49.0,1298.0,1503.0,6.0,11.0,398.0,114.0,11.9,8.4,136,3782.0,0.0,6.0
 Anul 2005, Mehedinti,46.0,1315.0,1369.0,6.0,11.0,391.0,163.0,11.2,7.5,116,3519.0,2.0,6.0
 Anul 2006, Mehedinti,84.0,1261.0,1243.0,3.0,9.0,403.0,142.0,10.5,7.6,118,3535.0,0.0,6.0
 Anul 2007, Mehedinti,59.0,1156.0,1270.0,9.0,9.0,413.0,131.0,8.9,7.2,115,3547.0,0.0,6.0
 Anul 2008, Mehedinti,56.0,1292.0,1329.0,9.0,14.0,402.0,137.0,9.9,8.6,116,3519.0,4.0,6.0
 Anul 2009, Mehedinti,79.0,1402.0,1536.0,5.0,9.0,360.0,126.0,15.7,12.0,118,3370.0,0.0,6.0
 Anul 2010, Mehedinti,51.0,1245.0,1341.0,12.0,8.0,377.0,144.0,12.0,8.7,116,3195.0,1.0,6.0
 Anul 2011, Mehedinti,108.0,1208.0,1273.0,2.0,10.0,384.0,114.0,10.9,8.4,110,3159.0,0.0,4.0
 Anul 2012, Mehedinti,79.0,1195.0,1396.0,8.0,3.0,298.0,133.0,11.2,7.7,108,3005.0,0.0,4.0
 Anul 2013, Mehedinti,111.0,1199.0,1362.0,2.0,9.0,215.0,73.0,12.2,8.5,109,3022.0,0.0,4.0
 Anul 2014, Mehedinti,92.0,1077.0,1307.0,3.0,8.0,181.0,66.0,11.3,8.5,110,2977.0,0.0,4.0
 Anul 2015, Mehedinti,103.0,1084.0,1287.0,5.0,6.0,233.0,93.0,12.8,9.0,109,2823.0,0.0,4.0
 Anul 2016, Mehedinti,168.0,1212.0,1341.0,6.0,6.0,197.0,123.0,10.5,8.6,107,2782.0,0.0,4.0
 Anul 2017, Mehedinti,148.0,1151.0,1232.0,6.0,6.0,170.0,80.0,10.5,8.0,107,2796.0,0.0,4.0
 Anul 2018, Mehedinti,180.0,1175.0,1264.0,3.0,9.0,186.0,159.0,8.4,7.0,107,2705.0,0.0,4.0
 Anul 2019, Mehedinti,213.0,1080.0,1385.0,4.0,8.0,254.0,181.0,7.2,6.3,107,2680.0,0.0,4.0
 Anul 2020, Mehedinti,144.0,988.0,1226.0,3.0,5.0,149.0,107.0,6.7,6.2,106,2732.0,0.0,4.0
 Anul 2021, Mehedinti,275.0,980.0,1229.0,2.0,1.0,210.0,152.0,7.0,6.6,105,2703.0,0.0,4.0
 Anul 1992, Mures,1715.0,3238.0,3734.0,20.0,17.0,486.0,141.0,5.5,8.9,917,7969.0,4.0,8.0
 Anul 1993, Mures,1163.0,3060.0,3487.0,22.0,24.0,655.0,230.0,7.9,11.1,928,7991.0,9.0,8.0
 Anul 1994, Mures,774.0,3001.0,3780.0,25.0,25.0,689.0,236.0,11.4,13.9,928,8470.0,28.0,8.0
 Anul 1995, Mures,1095.0,2697.0,3496.0,24.0,21.0,561.0,215.0,10.3,14.9,940,8557.0,10.0,6.0
 Anul 1996, Mures,706.0,2799.0,3475.0,18.0,18.0,606.0,209.0,7.3,9.2,956,8716.0,7.0,7.0
 Anul 1997, Mures,745.0,2912.0,3776.0,20.0,20.0,549.0,190.0,9.3,11.2,950,8561.0,9.0,8.0
 Anul 1998, Mures,523.0,2963.0,3792.0,13.0,27.0,731.0,269.0,10.0,9.2,956,8595.0,8.0,7.0
 Anul 1999, Mures,388.0,2861.0,3646.0,15.0,22.0,603.0,233.0,9.6,7.9,902,8788.0,11.0,7.0
