YEARS,COUNTIES,EMIGRANTS,BORN_URBAN,BORN_RURAL,DEAD_URBAN,DEAD_RURAL,DIVORCES_URBAN,DIVORCES_RURAL,UNEMPLOYMENT_RATE_MALE,UNEMPLOYMENT_RATE_FEMALE,EDUCATIONAL_UNITS,TEACHING_STAFF,CONFLICTS_OF_INTEREST,HOSPITALS
 Anul 2006, Bacau,654.0,3612.0,4529.0,11.0,19.0,980.0,527.0,6.4,5.0,308,8422.0,0.0,12.0
 Anul 2007, Bacau,333.0,3584.0,4483.0,5.0,17.0,890.0,509.0,4.5,4.3,284,8162.0,7.0,12.0
 Anul 2008, Bacau,320.0,3531.0,4349.0,4.0,13.0,1135.0,661.0,5.3,5.1,282,8173.0,7.0,12.0
 Anul 2009, Bacau,369.0,3291.0,4251.0,7.0,11.0,787.0,517.0,10.0,7.8,270,8010.0,1.0,12.0
 Anul 2010, Bacau,293.0,3284.0,4021.0,8.0,12.0,863.0,535.0,8.6,6.8,217,7384.0,1.0,13.0
 Anul 2011, Bacau,415.0,2969.0,3889.0,6.0,13.0,852.0,563.0,6.4,6.0,206,7240.0,0.0,13.0
 Anul 2012, Bacau,438.0,2965.0,4016.0,3.0,13.0,689.0,435.0,7.1,5.6,187,7195.0,2.0,13.0
 Anul 2013, Bacau,479.0,3341.0,4279.0,5.0,18.0,647.0,425.0,8.1,6.0,187,7432.0,1.0,17.0
 Anul 2014, Bacau,434.0,3042.0,3924.0,3.0,8.0,622.0,379.0,7.8,5.6,184,7202.0,0.0,21.0
 Anul 2015, Bacau,592.0,3247.0,3890.0,8.0,15.0,583.0,385.0,7.3,5.7,184,6959.0,1.0,25.0
 Anul 2016, Bacau,856.0,3167.0,3781.0,6.0,9.0,575.0,404.0,7.5,6.0,184,7031.0,1.0,28.0
 Anul 2017, Bacau,880.0,3193.0,3805.0,5.0,13.0,610.0,468.0,7.2,5.9,186,6892.0,1.0,25.0
 Anul 2018, Bacau,1062.0,3117.0,3789.0,6.0,6.0,638.0,507.0,6.2,5.6,186,6611.0,0.0,14.0
 Anul 2019, Bacau,1172.0,3193.0,3880.0,7.0,2.0,582.0,455.0,5.5,4.8,188,6712.0,2.0,14.0
 Anul 2020, Bacau,782.0,2864.0,3554.0,5.0,16.0,471.0,365.0,5.5,5.2,187,6723.0,1.0,16.0
 Anul 2021, Bacau,1383.0,2786.0,3623.0,5.0,17.0,497.0,413.0,3.7,3.7,185,6746.0,0.0,16.0
 Anul 1992, Bihor,1646.0,3345.0,4193.0,28.0,45.0,330.0,125.0,6.1,8.8,1101,8350.0,1.0,16.0
 Anul 1993, Bihor,793.0,3089.0,3938.0,21.0,52.0,410.0,148.0,6.2,9.1,1108,8571.0,2.0,16.0
 Anul 1994, Bihor,552.0,3123.0,4019.0,29.0,39.0,382.0,171.0,7.1,7.5,1093,8632.0,7.0,16.0
 Anul 1995, Bihor,1018.0,2925.0,3963.0,27.0,48.0,452.0,156.0,5.7,6.4,1084,9053.0,5.0,16.0
 Anul 1996, Bihor,658.0,2881.0,3859.0,27.0,31.0,295.0,101.0,2.6,2.9,1083,9104.0,10.0,16.0
 Anul 1997, Bihor,734.0,2730.0,3826.0,24.0,38.0,428.0,119.0,4.8,3.2,1067,9141.0,10.0,16.0
 Anul 1998, Bihor,466.0,2846.0,3989.0,22.0,50.0,487.0,176.0,5.6,4.5,1074,9436.0,12.0,16.0
 Anul 1999, Bihor,289.0,2831.0,3924.0,24.0,37.0,365.0,108.0,7.2,4.8,1028,9383.0,7.0,16.0
 Anul 2000, Bihor,497.0,2795.0,4004.0,23.0,34.0,544.0,128.0,5.6,3.6,1014,9171.0,5.0,17.0
 Anul 2001, Bihor,317.0,2654.0,3652.0,18.0,39.0,418.0,112.0,3.2,2.9,1005,9247.0,2.0,17.0
 Anul 2002, Bihor,334.0,2607.0,3446.0,17.0,29.0,457.0,167.0,3.9,2.5,1001,9496.0,3.0,17.0
 Anul 2003, Bihor,425.0,2602.0,3577.0,12.0,38.0,528.0,206.0,2.9,2.1,349,9423.0,0.0,15.0
 Anul 2004, Bihor,521.0,2816.0,3348.0,20.0,42.0,455.0,207.0,2.5,1.7,348,9564.0,0.0,15.0
 Anul 2005, Bihor,297.0,3250.0,3530.0,23.0,31.0,472.0,150.0,3.2,2.1,345,9547.0,1.0,15.0
 Anul 2006, Bihor,335.0,3131.0,3463.0,15.0,27.0,281.0,144.0,3.3,2.1,221,9756.0,2.0,15.0
 Anul 2007, Bihor,178.0,2958.0,3471.0,13.0,25.0,308.0,204.0,2.7,1.9,225,9442.0,0.0,14.0
 Anul 2008, Bihor,181.0,3188.0,3335.0,19.0,21.0,338.0,190.0,3.1,2.9,219,9587.0,1.0,15.0
 Anul 2009, Bihor,219.0,3167.0,3479.0,13.0,36.0,433.0,204.0,6.7,5.0,228,9510.0,1.0,16.0
 Anul 2010, Bihor,143.0,3036.0,3312.0,16.0,22.0,681.0,335.0,6.9,4.9,221,8884.0,1.0,16.0
 Anul 2011, Bihor,281.0,2807.0,3095.0,11.0,21.0,738.0,420.0,4.7,3.7,220,8873.0,0.0,12.0
 Anul 2012, Bihor,263.0,2903.0,3307.0,18.0,25.0,550.0,323.0,4.7,3.7,205,8678.0,0.0,13.0
 Anul 2013, Bihor,259.0,2863.0,3373.0,12.0,21.0,493.0,304.0,4.0,3.4,207,8649.0,0.0,14.0
 Anul 2014, Bihor,176.0,2807.0,3132.0,12.0,20.0,467.0,276.0,4.0,3.3,209,8665.0,0.0,14.0
 Anul 2015, Bihor,226.0,2848.0,3108.0,17.0,13.0,631.0,374.0,3.7,3.3,216,8296.0,0.0,14.0
 Anul 2016, Bihor,369.0,2894.0,3176.0,12.0,25.0,660.0,368.0,3.6,2.4,207,8194.0,0.0,14.0
