Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Regiunea SUD-MUNTENIA, Anul 2021, Numar persoane, 3000
Total, Regiunea SUD-MUNTENIA, Anul 2022, Numar persoane, 4207
Total, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 4032
Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 4381
Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 2523
Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 3678
Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 5916
Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 5266
Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 4045
Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 6376
Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 4014
Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 2913
Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 1841
Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 1431
Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 1792
Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 2057
Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 1808
Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 2440
Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 1643
Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 1567
Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 1936
Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 1456
Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 6106
Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 5479
Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 6148
Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar persoane, 1797
Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar persoane, 2705
Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar persoane, 3848
Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Numar persoane, 4059
Total, Regiunea BUCURESTI - ILFOV, Anul 2018, Numar persoane, 4549
Total, Regiunea BUCURESTI - ILFOV, Anul 2019, Numar persoane, 4411
Total, Regiunea BUCURESTI - ILFOV, Anul 2020, Numar persoane, 3538
Total, Regiunea BUCURESTI - ILFOV, Anul 2021, Numar persoane, 5739
Total, Regiunea BUCURESTI - ILFOV, Anul 2022, Numar persoane, 7809
Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 1040
Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 581
Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 351
Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 396
Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 791
Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 767
Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 835
Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 614
Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 574
Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 772
Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 468
Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 306
Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 489
Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 589
Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 488
Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 617
Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 451
Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 419
Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 607
Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 449
Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 759
Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 791
Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 797
Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 681
Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar persoane, 833
Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar persoane, 1363
Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Numar persoane, 1234
Total, Regiunea SUD-VEST OLTENIA, Anul 2018, Numar persoane, 1470
Total, Regiunea SUD-VEST OLTENIA, Anul 2019, Numar persoane, 1497
Total, Regiunea SUD-VEST OLTENIA, Anul 2020, Numar persoane, 1114
Total, Regiunea SUD-VEST OLTENIA, Anul 2021, Numar persoane, 1948
Total, Regiunea SUD-VEST OLTENIA, Anul 2022, Numar persoane, 2518
Total, Regiunea VEST, Anul 1991, Numar persoane, 10514
Total, Regiunea VEST, Anul 1992, Numar persoane, 7104
Total, Regiunea VEST, Anul 1993, Numar persoane, 5852
Total, Regiunea VEST, Anul 1994, Numar persoane, 4692
Total, Regiunea VEST, Anul 1995, Numar persoane, 5710
Total, Regiunea VEST, Anul 1996, Numar persoane, 4696
Total, Regiunea VEST, Anul 1997, Numar persoane, 4222
Total, Regiunea VEST, Anul 1998, Numar persoane, 2516
Total, Regiunea VEST, Anul 1999, Numar persoane, 1622
Total, Regiunea VEST, Anul 2000, Numar persoane, 2068
Total, Regiunea VEST, Anul 2001, Numar persoane, 1192
Total, Regiunea VEST, Anul 2002, Numar persoane, 1121
Total, Regiunea VEST, Anul 2003, Numar persoane, 1421
Total, Regiunea VEST, Anul 2004, Numar persoane, 1738
Total, Regiunea VEST, Anul 2005, Numar persoane, 1418
Total, Regiunea VEST, Anul 2006, Numar persoane, 1946
Total, Regiunea VEST, Anul 2007, Numar persoane, 1229
Total, Regiunea VEST, Anul 2008, Numar persoane, 1270
Total, Regiunea VEST, Anul 2009, Numar persoane, 1420
Total, Regiunea VEST, Anul 2010, Numar persoane, 1112
Total, Regiunea VEST, Anul 2011, Numar persoane, 2134
Total, Regiunea VEST, Anul 2012, Numar persoane, 2128
Total, Regiunea VEST, Anul 2013, Numar persoane, 2111
Total, Regiunea VEST, Anul 2014, Numar persoane, 1468
Total, Regiunea VEST, Anul 2015, Numar persoane, 1930
Total, Regiunea VEST, Anul 2016, Numar persoane, 2947
Total, Regiunea VEST, Anul 2017, Numar persoane, 2986
Total, Regiunea VEST, Anul 2018, Numar persoane, 3330
Total, Regiunea VEST, Anul 2019, Numar persoane, 3189
Total, Regiunea VEST, Anul 2020, Numar persoane, 2617
Total, Regiunea VEST, Anul 2021, Numar persoane, 3976
Total, Regiunea VEST, Anul 2022, Numar persoane, 5560
